Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:20,Data class,Data type,Answers
2930dbfd-6902-447b-adf4-f03e79605977,,Insurance,,,,,,Misc,N/A,
b8f4765c-5a3a-4a14-8911-28ee827538c0,,Cash,,,,,,Misc,N/A,
c1e221e8-d05e-4cf0-8034-e596f2709fe9,,Free,,,,,,Misc,N/A,
1998cde3-3d7d-4682-bf8b-2243cd2f6265,,Subsidized,,,,,,Misc,N/A,
497706a9-18ad-4003-91c4-fcfd1761f4b2,,Full-paying,,,,,,Misc,N/A,
adb10fc0-794f-4443-89ff-c77aec731cd8,,Payment Method,,,,,,Question,Coded,"Insurance;
Cash; Free;
Subsidized;
Full-paying;"
3ee11a9e-36c3-47c8-af1d-ee7e27c9c41f,,"Medication, Subsidy",Medication,,,,,Misc,N/A,
c5908f6e-ba2d-4f61-9170-7b49f414444d,,"Procedure, Subsidy",Procedure,,,,,Misc,N/A,
58ba4a7b-dc72-4bec-93c0-9592dcb52c8e,,"Tests, Subsidy",Tests,,,,,Misc,N/A,
32603c13-676a-4f36-8b81-5dc240a506f5,,Level of Subsidy,,,,,,Question,Coded,"Medication, Subsidy;
Procedure, Subsidy;
Tests, Subsidy"
aee3f85e-ef95-4eac-a5f5-65b066dbee3f,,Assigned Visit Provider,,,,,,Misc,Text,
97fea1d4-759f-40d1-9acd-9d682adc5d89,,Provider Assignment,,,,,,Misc,N/A,